trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
46020,197,3,197 Lincoln/WWU,,0,2107,shp-197-01,1,1
2457090,197,1,197 Lincoln/WWU,,0,1107,shp-197-01,1,1
151020,197,3,197 Lincoln/WWU,,0,1107,shp-197-01,1,1
2647090,197,1,197 Lincoln/WWU,,0,1107,shp-197-01,1,1
2078070,197,2,197 Lincoln/WWU,,0,1196,shp-197-01,1,1
2633070,197,2,197 Lincoln/WWU,,0,1196,shp-197-01,1,1
1068090,197,1,197 Lincoln/WWU,,0,2107,shp-197-01,1,1
1697070,197,2,197 Lincoln/WWU,,0,2196,shp-197-01,1,1
2573070,197,2,197 Lincoln/WWU,,0,1196,shp-197-01,1,1
116070,197,2,197 Lincoln/WWU,,0,2196,shp-197-01,1,1
1068020,197,3,197 Lincoln/WWU,,0,2107,shp-197-01,1,1
625020,197,3,197 Lincoln/WWU,,0,1107,shp-197-01,1,1
44070,197,2,197 Lincoln/WWU,,0,1196,shp-197-01,1,1
1292090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
796020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2172070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1294070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2307070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1419070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2431070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1246090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1088020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2582010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
282010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
324090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2437090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1540010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1015010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2446090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
894090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
633090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
2000090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1877070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
324020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2540090,232,1,232 Cordata/WCC,,1,5232,shp-232-01,1,1
157020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
707020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
790010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1793070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
894020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1757020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
915010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1305090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
175090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
946090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
540070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2409020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
405070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2035090,232,1,232 Cordata/WCC,,1,5232,shp-232-01,1,1
1210020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2173010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2446020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
284090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
486010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1532020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1246020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1601090,232,1,232 Cordata/WCC,,1,5232,shp-232-01,1,1
598010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1082090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
782090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1210090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1866070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1305020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1601020,232,3,232 Cordata/WCC,,1,5232,shp-232-01,1,1
1532090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
2409090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
196070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1489070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
187020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
730090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1172020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
796090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1964020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1708070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1881090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
2185070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2107020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1395090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1234070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1163070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1775020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1292020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
349090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1775090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
403010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
707090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
635010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
633020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
916090,232,1,232 Cordata/WCC,,1,5232,shp-232-01,1,1
2099010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
730020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1322070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1024010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2574020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
2379070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1395020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
356070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2035020,232,3,232 Cordata/WCC,,1,5232,shp-232-01,1,1
619020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2086010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
269020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1862010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
349020,232,3,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1303090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1844010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
946020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2000020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1757090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2415020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1071020,232,3,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2635070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
2344070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1059070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
157090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2021010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1082020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1990090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1268070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
916020,232,3,232 Cordata/WCC,,1,5232,shp-232-01,1,1
2281010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1898070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2496070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2219070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2437020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1921070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
